      Energy                up 
      -17.92650000        0.00000000 
      -17.92375000        0.00000000 
      -17.92100000        0.00000000 
      -17.91825000        0.00000000 
      -17.91550000        0.00000000 
      -17.91275000        0.00000000 
      -17.91000000        0.00000000 
      -17.90725000        0.00000000 
      -17.90450000        0.00000000 
      -17.90175000        0.00000000 
      -17.89900000        0.00000000 
      -17.89625000        0.00000000 
      -17.89350000        0.00000000 
      -17.89075000        0.00000000 
      -17.88800000        0.00000000 
      -17.88525000        0.00000000 
      -17.88250000        0.00000000 
      -17.87975000        0.00000000 
      -17.87700000        0.00000000 
      -17.87425000        0.00000000 
      -17.87150000        0.00000000 
      -17.86875000        0.00000000 
      -17.86600000        0.00000000 
      -17.86325000        0.00000000 
      -17.86050000        0.00000000 
      -17.85775000        0.00000000 
      -17.85500000        0.00000000 
      -17.85225000        0.00000000 
      -17.84950000        0.00000000 
      -17.84675000        0.00000000 
      -17.84400000        0.00000000 
      -17.84125000        0.00000000 
      -17.83850000        0.00000000 
      -17.83575000        0.00000000 
      -17.83300000        0.00000000 
      -17.83025000        0.00000000 
      -17.82750000        0.00000000 
      -17.82475000        0.00000000 
      -17.82200000        0.00000000 
      -17.81925000        0.00000000 
      -17.81650000        0.00000000 
      -17.81375000        0.00000000 
      -17.81100000        0.00000000 
      -17.80825000        0.00000000 
      -17.80550000        0.00000000 
      -17.80275000        0.00000000 
      -17.80000000        0.00000000 
      -17.79725000        0.00000000 
      -17.79450000        0.00000000 
      -17.79175000        0.00000000 
      -17.78900000        0.00000000 
      -17.78625000        0.00000000 
      -17.78350000        0.00000000 
      -17.78075000        0.00000000 
      -17.77800000        0.00000000 
      -17.77525000        0.00000000 
      -17.77250000        0.00000000 
      -17.76975000        0.00000000 
      -17.76700000        0.00000000 
      -17.76425000        0.00000000 
      -17.76150000        0.00000000 
      -17.75875000        0.00000000 
      -17.75600000        0.00000000 
      -17.75325000        0.00000000 
      -17.75050000        0.00000000 
      -17.74775000        0.00000000 
      -17.74500000        0.00000000 
      -17.74225000        0.00000000 
      -17.73950000        0.00000000 
      -17.73675000        0.00000000 
      -17.73400000        0.00000000 
      -17.73125000        0.00000000 
      -17.72850000        0.00000000 
      -17.72575000        0.00000000 
